https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1707782400000,2024-02-13 00:00:00,BTC/UST,49929,50366,48329,49706,37637998.76854814,757.21238419
1707696000000,2024-02-12 00:00:00,BTC/UST,48298,50320,47706,49935,45141485.255752504,904.0049115
1707609600000,2024-02-11 00:00:00,BTC/UST,47762,48580,47572,48289,12990346.7227293,269.0125437
1707523200000,2024-02-10 00:00:00,BTC/UST,47124,48160,46864,47756,11398298.05406032,238.67782172
1707436800000,2024-02-09 00:00:00,BTC/UST,45310,48162,45253,47118,50745159.891940564,1076.98034492
1707350400000,2024-02-08 00:00:00,BTC/UST,44349,45600,44345,45294,19914770.18343102,439.67788633
1707264000000,2024-02-07 00:00:00,BTC/UST,43098,44386,42793,44338,17384838.43224002,392.09793929
1707177600000,2024-02-06 00:00:00,BTC/UST,42707,43386,42575,43099,22618361.067497857,524.80013614
1707091200000,2024-02-05 00:00:00,BTC/UST,42583,43571,42276,42708,18079816.52976048,423.33559356
1707004800000,2024-02-04 00:00:00,BTC/UST,43002,43113,42237,42585,19342919.793492302,454.21908638
1706918400000,2024-02-03 00:00:00,BTC/UST,43199,43381,42880,43008,7976130.78140928,185.45690991
1706832000000,2024-02-02 00:00:00,BTC/UST,43086,43479,42560,43200,23532639.991056,544.73703683
1706745600000,2024-02-01 00:00:00,BTC/UST,42591,43278,41892,43081,19641792.02401175,455.92702175
1706659200000,2024-01-31 00:00:00,BTC/UST,42946,43744,42300,42600,51016897.925951995,1197.57976352
1706572800000,2024-01-30 00:00:00,BTC/UST,43304,43861,42694,42950,40459021.573411,942.00283058
1706486400000,2024-01-29 00:00:00,BTC/UST,42035,43318,41813,43295,18285371.8007408,422.34373024
1706400000000,2024-01-28 00:00:00,BTC/UST,42140,42826,41625,42039,28332568.15529832,673.95913688
1706313600000,2024-01-27 00:00:00,BTC/UST,41821,42199,41401,42117,15592664.7051024,370.2225872
1706227200000,2024-01-26 00:00:00,BTC/UST,39964,42244,39835,41814,35799493.89759768,856.16047012
1706140800000,2024-01-25 00:00:00,BTC/UST,40084,40297,39550,39947,25960988.85912993,649.88582019
1706054400000,2024-01-24 00:00:00,BTC/UST,39905,40556,39492,40084,62651114.159317195,1562.9955633
1705968000000,2024-01-23 00:00:00,BTC/UST,39570,40177,38545,39907,50304128.044145636,1260.53394252
1705881600000,2024-01-22 00:00:00,BTC/UST,41574,41687,39444,39570,64044196.1680839,1618.50382027
1705795200000,2024-01-21 00:00:00,BTC/UST,41698,41878,41506,41570,5666118.378794,136.3030642
1705708800000,2024-01-20 00:00:00,BTC/UST,41663,41860,41470,41697,21585641.668328788,517.67853007
1705622400000,2024-01-19 00:00:00,BTC/UST,41319,42180,40297,41660,37329954.471068196,896.06227727
1705536000000,2024-01-18 00:00:00,BTC/UST,42774,42921,40700,41304,31148299.33986648,754.12307137
1705449600000,2024-01-17 00:00:00,BTC/UST,43142,43196,42205,42777,27136645.886556357,634.37468468
1705363200000,2024-01-16 00:00:00,BTC/UST,42519,43567,42078,43143,33569260.1554368,778.0928576
1705276800000,2024-01-15 00:00:00,BTC/UST,41743,43372,41716,42515,36976004.70249345,869.71668123
1705190400000,2024-01-14 00:00:00,BTC/UST,42845,43078,41731,41734,22018074.58164314,527.58121871
1705104000000,2024-01-13 00:00:00,BTC/UST,42765,43254,42437,42846,24105417.0251949,562.60600815
1705017600000,2024-01-12 00:00:00,BTC/UST,46332,46510,41424,42788,88520081.06636874,2068.80623227
1704931200000,2024-01-11 00:00:00,BTC/UST,46658,48805,45611,46342,95931900.80764194,2070.08546907
1704844800000,2024-01-10 00:00:00,BTC/UST,46104,47674,44302,46652,101966950.57263508,2185.69301579
1704758400000,2024-01-09 00:00:00,BTC/UST,46953,47948,44690,46106,64134690.284752876,1391.02698748
1704672000000,2024-01-08 00:00:00,BTC/UST,43927,47211,43200,46951,84740655.74112986,1804.87435286
1704585600000,2024-01-07 00:00:00,BTC/UST,43972,44484,43607,43914,16143387.5848557,367.61369005
1704499200000,2024-01-06 00:00:00,BTC/UST,44144,44206,43406,43972,7083732.896689081,161.09644539
1704412800000,2024-01-05 00:00:00,BTC/UST,44148,44347,41100,44134,43117005.95226554,976.95667631
1704326400000,2024-01-04 00:00:00,BTC/UST,42844,44728,42632,44143,41847551.01621941,947.99970587
1704240000000,2024-01-03 00:00:00,BTC/UST,44949,45499,40400,42849,108871115.23553966,2540.80877583
1704153600000,2024-01-02 00:00:00,BTC/UST,44171,45880,44152,44948,84402113.75294517,1877.77239817
1704067200000,2024-01-01 00:00:00,BTC/UST,42278,44178,42197,44171,16565852.03972045,375.03909895
1703980800000,2023-12-31 00:00:00,BTC/UST,42156,42884,41979,42282,8357583.068022421,197.66290781
1703894400000,2023-12-30 00:00:00,BTC/UST,42069,42595,41529,42151,16303014.01918304,386.77644704
1703808000000,2023-12-29 00:00:00,BTC/UST,42567,43101,41312,42079,28494898.051974602,677.1762174
1703721600000,2023-12-28 00:00:00,BTC/UST,43425,43784,42290,42564,16695958.6710876,392.2553959
1703635200000,2023-12-27 00:00:00,BTC/UST,42506,43676,42123,43433,22076749.64192893,508.29437621
1703548800000,2023-12-26 00:00:00,BTC/UST,43572,43592,41640,42507,28077135.09883353,660.52967979
1703462400000,2023-12-25 00:00:00,BTC/UST,42992,43795,42730,43580,11797479.484957999,270.7085701
1703376000000,2023-12-24 00:00:00,BTC/UST,43714,43933,42568,42986,10880945.4380104,253.1276564
1703289600000,2023-12-23 00:00:00,BTC/UST,43961,43988,43334,43714,11884004.589974,271.858091
1703203200000,2023-12-22 00:00:00,BTC/UST,43859,44399,43418,43953,23378576.678806443,531.89945348
1703116800000,2023-12-21 00:00:00,BTC/UST,43661,44237,43334,43858,37152513.437968016,847.10915769
1703030400000,2023-12-20 00:00:00,BTC/UST,42274,44275,42216,43660,30310679.940690197,694.24369997
1702944000000,2023-12-19 00:00:00,BTC/UST,42657,43512,41823,42269,16719979.10352196,395.56126484
1702857600000,2023-12-18 00:00:00,BTC/UST,41370,42778,40538,42654,17181594.2562597,402.81320055
1702771200000,2023-12-17 00:00:00,BTC/UST,42269,42424,41250,41368,11365265.642507039,274.73568078
1702684800000,2023-12-16 00:00:00,BTC/UST,41939,42705,41644,42273,7794768.979048589,184.39119483
1702598400000,2023-12-15 00:00:00,BTC/UST,43021,43074,41677,41935,14489010.67030765,345.51116419
1702512000000,2023-12-14 00:00:00,BTC/UST,42870,43402,41250,43023,24341048.88984591,565.76828417
1702425600000,2023-12-13 00:00:00,BTC/UST,41484,43444,40588,42869,22903707.47787841,534.27202589
1702339200000,2023-12-12 00:00:00,BTC/UST,41253,42102,40694,41474,19665683.8742222,474.1689703
1702252800000,2023-12-11 00:00:00,BTC/UST,43787,43806,40160,41259,53842132.997992866,1304.97910754
1702166400000,2023-12-10 00:00:00,BTC/UST,43705,44034,43571,43792,6180408.70864592,141.13099901
1702080000000,2023-12-09 00:00:00,BTC/UST,44184,44345,43594,43704,13231041.9817788,302.74212845
1701993600000,2023-12-08 00:00:00,BTC/UST,43275,44710,43091,44173,23302453.54184163,527.52707631
1701907200000,2023-12-07 00:00:00,BTC/UST,43772,44040,42855,43278,24893828.4084381,575.20745895
1701820800000,2023-12-06 00:00:00,BTC/UST,44066,44276,43363,43770,25097376.1615524,573.39219012
1701734400000,2023-12-05 00:00:00,BTC/UST,41986,44476,41355,44065,38131973.845982105,865.35740034
1701648000000,2023-12-04 00:00:00,BTC/UST,39962,42387,39962,41990,50846299.636652,1210.9144948
1701561600000,2023-12-03 00:00:00,BTC/UST,39455,40179,39265,39961,13574319.478627121,339.68918392
1701475200000,2023-12-02 00:00:00,BTC/UST,38682,39697,38638,39456,20090449.68213312,509.18617402
1701388800000,2023-12-01 00:00:00,BTC/UST,37723,38966,37619,38682,29648602.831732918,766.47026606
