https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1711321200000,2024-03-24 23:00:00,BTCG/USD,66772.32,67382.89,66772.32,67382.89,0.0037645,253.662889405
1711317600000,2024-03-24 22:00:00,BTCG/USD,66172.21,66775.26,66172.21,66772.32,0.0771469,5151.277493808001
1711314000000,2024-03-24 21:00:00,BTCG/USD,66258.21,66258.21,66172.21,66172.21,0.01083017,716.6562835757001
1711310400000,2024-03-24 20:00:00,BTCG/USD,65686.66,66258.21,65686.66,66258.21,0.01895653,1256.0257456113002
1711306800000,2024-03-24 19:00:00,BTCG/USD,65686.66,65686.66,65686.66,65686.66,0.0,0.0
1711303200000,2024-03-24 18:00:00,BTCG/USD,65359.19,65686.66,65359.19,65686.66,0.02,1313.7332000000001
1711299600000,2024-03-24 17:00:00,BTCG/USD,65551.05,65551.05,65359.19,65359.19,0.00014983,9.7927674377
1711296000000,2024-03-24 16:00:00,BTCG/USD,65551.05,65551.05,65551.05,65551.05,0.0,0.0
1711292400000,2024-03-24 15:00:00,BTCG/USD,65403.0,65959.56,65403.0,65551.05,0.01357293,889.7198130765
1711288800000,2024-03-24 14:00:00,BTCG/USD,65403.0,65403.0,65403.0,65403.0,0.0,0.0
1711285200000,2024-03-24 13:00:00,BTCG/USD,65396.46,65403.0,65396.46,65403.0,0.0037645,246.2095935
1711281600000,2024-03-24 12:00:00,BTCG/USD,65246.53,65396.46,65246.53,65396.46,0.00214036,139.9719671256
1711278000000,2024-03-24 11:00:00,BTCG/USD,65246.53,65246.53,65246.53,65246.53,0.0,0.0
1711274400000,2024-03-24 10:00:00,BTCG/USD,65246.53,65246.53,65246.53,65246.53,0.0,0.0
1711270800000,2024-03-24 09:00:00,BTCG/USD,64749.57,65246.53,64749.57,65246.53,0.01056104,689.0712131912001
1711267200000,2024-03-24 08:00:00,BTCG/USD,64135.79,64749.57,64135.79,64749.57,0.0037645,243.749756265
1711263600000,2024-03-24 07:00:00,BTCG/USD,64135.79,64135.79,64135.79,64135.79,0.0,0.0
1711260000000,2024-03-24 06:00:00,BTCG/USD,64296.23,64296.23,64120.68,64135.79,0.04711398,3021.6923273442
1711256400000,2024-03-24 05:00:00,BTCG/USD,63648.0,64299.06,63648.0,64296.23,0.02,1285.9246
1711252800000,2024-03-24 04:00:00,BTCG/USD,63648.0,63648.0,63648.0,63648.0,0.0,0.0
1711249200000,2024-03-24 03:00:00,BTCG/USD,64124.05,64124.05,63648.0,63648.0,0.01027433,653.94055584
1711245600000,2024-03-24 02:00:00,BTCG/USD,64124.05,64124.05,64124.05,64124.05,0.0,0.0
1711242000000,2024-03-24 01:00:00,BTCG/USD,64124.05,64124.05,64124.05,64124.05,0.0,0.0
1711238400000,2024-03-24 00:00:00,BTCG/USD,64500.0,64500.0,64124.05,64124.05,0.01,641.2405
1711234800000,2024-03-23 23:00:00,BTCG/USD,64998.02,64998.02,64500.0,64500.0,0.0038111,245.81595
1711231200000,2024-03-23 22:00:00,BTCG/USD,64998.02,64998.02,64998.02,64998.02,0.0,0.0
1711227600000,2024-03-23 21:00:00,BTCG/USD,64980.7,64998.02,64877.25,64998.02,0.01510555,981.830841011
1711224000000,2024-03-23 20:00:00,BTCG/USD,64980.7,64980.7,64980.7,64980.7,0.0,0.0
1711220400000,2024-03-23 19:00:00,BTCG/USD,65335.55,65335.55,64980.7,64980.7,0.00149008,96.826441456
1711216800000,2024-03-23 18:00:00,BTCG/USD,65800.0,65800.0,65335.55,65335.55,0.00679992,444.276513156
1711213200000,2024-03-23 17:00:00,BTCG/USD,65403.0,65800.0,65403.0,65800.0,0.07699292,5066.134136000001
1711209600000,2024-03-23 16:00:00,BTCG/USD,65236.5,65403.0,65236.5,65403.0,0.0037645,246.2095935
1711206000000,2024-03-23 15:00:00,BTCG/USD,64100.0,65244.08,64100.0,65236.5,0.01473037,960.957782505
1711202400000,2024-03-23 14:00:00,BTCG/USD,64100.0,64100.0,64100.0,64100.0,0.0,0.0
1711198800000,2024-03-23 13:00:00,BTCG/USD,64100.0,64100.0,64100.0,64100.0,0.0,0.0
1711195200000,2024-03-23 12:00:00,BTCG/USD,64572.85,64572.85,64100.0,64100.0,0.01088998,698.047718
1711191600000,2024-03-23 11:00:00,BTCG/USD,64749.57,64749.57,64572.85,64572.85,1.525e-05,0.9847359625
1711188000000,2024-03-23 10:00:00,BTCG/USD,64749.57,64749.57,64749.57,64749.57,0.0,0.0
1711184400000,2024-03-23 09:00:00,BTCG/USD,64749.57,64749.57,64749.57,64749.57,0.0,0.0
1711180800000,2024-03-23 08:00:00,BTCG/USD,64749.57,64749.57,64749.57,64749.57,0.0,0.0
1711177200000,2024-03-23 07:00:00,BTCG/USD,64102.68,64749.57,64102.68,64749.57,0.0037645,243.749756265
1711173600000,2024-03-23 06:00:00,BTCG/USD,64102.68,64102.68,64102.68,64102.68,0.0,0.0
1711170000000,2024-03-23 05:00:00,BTCG/USD,63217.64,64102.68,61960.77,64102.68,0.01763529,1130.4693515772
1711166400000,2024-03-23 04:00:00,BTCG/USD,63217.64,63217.64,63217.64,63217.64,0.0,0.0
1711162800000,2024-03-23 03:00:00,BTCG/USD,63217.64,63217.64,63217.64,63217.64,0.0,0.0
1711159200000,2024-03-23 02:00:00,BTCG/USD,63217.64,63217.64,63217.64,63217.64,0.0,0.0
1711155600000,2024-03-23 01:00:00,BTCG/USD,63217.64,63217.64,63217.64,63217.64,0.0,0.0
1711152000000,2024-03-23 00:00:00,BTCG/USD,64102.68,64102.68,63217.64,63217.64,1e-05,0.6321764000000001
1711148400000,2024-03-22 23:00:00,BTCG/USD,62917.39,64102.68,62917.39,64102.68,0.02687401,1722.6960633468
1711144800000,2024-03-22 22:00:00,BTCG/USD,62500.0,62917.39,61801.0,62917.39,0.01396801,878.8307326938999
1711141200000,2024-03-22 21:00:00,BTCG/USD,63367.0,63367.0,62500.0,62500.0,0.02176345,1360.215625
1711137600000,2024-03-22 20:00:00,BTCG/USD,64102.68,64102.68,63367.0,63367.0,0.0016,101.3872
1711134000000,2024-03-22 19:00:00,BTCG/USD,63508.4,64102.68,63508.4,64102.68,0.0037645,241.31453886
1711130400000,2024-03-22 18:00:00,BTCG/USD,63508.4,63508.4,63508.4,63508.4,0.0,0.0
