https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1711238400000,2024-03-24 00:00:00,BTCG/USD,64500.0,67382.89,63648.0,67382.89,0.25203957,16983.1546209573
1711152000000,2024-03-23 00:00:00,BTCG/USD,64102.68,65800.0,61960.77,64500.0,0.15500946,9998.11017
1711065600000,2024-03-22 00:00:00,BTCG/USD,65473.05,66288.48,61801.0,64102.68,0.5542158,35526.718078344005
1710979200000,2024-03-21 00:00:00,BTCG/USD,67254.13,68056.09,63217.64,65473.05,0.68814851,45055.181802655505
1710892800000,2024-03-20 00:00:00,BTCG/USD,61960.77,70369.51,60148.07,67254.13,2.08352104,140125.39488189522
1710806400000,2024-03-19 00:00:00,BTCG/USD,67603.34,68056.09,58000.0,61960.77,3.3294227,206293.594147479
1710720000000,2024-03-18 00:00:00,BTCG/USD,68363.32,68679.97,64111.68,67603.34,0.88677297,59948.8145937198
1710633600000,2024-03-17 00:00:00,BTCG/USD,65290.12,68632.03,64200.01,68363.32,0.58655875,40099.103525050006
1710547200000,2024-03-16 00:00:00,BTCG/USD,69463.31,69914.94,65000.0,65290.12,1.66184793,108502.2507714516
1710460800000,2024-03-15 00:00:00,BTCG/USD,70836.62,72217.52,65500.0,69463.31,2.40429497,167010.2868325507
1710374400000,2024-03-14 00:00:00,BTCG/USD,73077.84,73689.5,68525.92,70836.62,1.45312387,102934.38339211939
1710288000000,2024-03-13 00:00:00,BTCG/USD,71287.53,75000.0,71287.53,73077.84,1.82351929,133258.85091153358
1710201600000,2024-03-12 00:00:00,BTCG/USD,72238.98,73000.0,69014.6,71287.53,2.04109284,145504.4670642852
1710115200000,2024-03-11 00:00:00,BTCG/USD,69014.6,72732.87,67248.54,72238.98,1.78515791,128957.98655733178
1710028800000,2024-03-10 00:00:00,BTCG/USD,68501.84,69914.94,60000.0,69014.6,0.63767356,44008.785673976
1709942400000,2024-03-09 00:00:00,BTCG/USD,68285.71,68568.78,60000.0,68501.84,0.39291867,26915.6518653528
1709856000000,2024-03-08 00:00:00,BTCG/USD,67147.67,70116.29,65144.39,68285.71,1.91012072,130433.94955091122
1709769600000,2024-03-07 00:00:00,BTCG/USD,66103.38,67817.75,65838.61,67147.67,0.48725,32717.7022075
1709683200000,2024-03-06 00:00:00,BTCG/USD,63782.31,68736.0,62914.96,66103.38,4.2180263,278825.79535889404
1709596800000,2024-03-05 00:00:00,BTCG/USD,68345.2,68914.36,59950.0,63782.31,3.75009496,239189.7192681576
1709510400000,2024-03-04 00:00:00,BTCG/USD,62963.08,68478.28,62500.0,68345.2,2.49391555,170447.15704786
1709424000000,2024-03-03 00:00:00,BTCG/USD,62060.03,63246.17,58449.37,62963.08,0.49765208,31333.7077252064
1709337600000,2024-03-02 00:00:00,BTCG/USD,62812.38,63000.0,60372.49,62060.03,0.53306582,33082.0807811746
