https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1711238400000,2024-03-24 00:00:00,BTC/GBP,50977.89,53579.27,50821.57,53287.02,1.99156813,106124.7307746726
1711152000000,2024-03-23 00:00:00,BTC/GBP,50376.5,52217.04,50077.33,50977.89,2.20709968,112513.28470607518
1711065600000,2024-03-22 00:00:00,BTC/GBP,51687.4,52655.86,49600.0,50376.5,5.95239957,299861.056938105
1710979200000,2024-03-21 00:00:00,BTC/GBP,53163.61,53176.22,51200.0,51687.4,2.13814774,110515.297496476
1710892800000,2024-03-20 00:00:00,BTC/GBP,48727.35,53232.64,48000.0,53163.61,7.3337323,389887.683841603
1710806400000,2024-03-19 00:00:00,BTC/GBP,53310.9,53310.9,48570.34,48727.35,7.50890708,365889.143404638
1710720000000,2024-03-18 00:00:00,BTC/GBP,54272.2,54413.88,52676.01,53310.9,7.4888784,399238.84749456
1710633600000,2024-03-17 00:00:00,BTC/GBP,52188.61,55900.0,51290.2,54272.2,7.7059203,418217.24770565995
1710547200000,2024-03-16 00:00:00,BTC/GBP,55178.26,55652.73,51570.34,52188.61,5.28591663,275864.6414955843
1710460800000,2024-03-15 00:00:00,BTC/GBP,56926.98,57592.41,52210.0,55178.26,9.18284006,506693.13636909565
1710374400000,2024-03-14 00:00:00,BTC/GBP,57063.69,57652.06,54500.0,56926.98,34.35270159,1955595.5563598985
1710288000000,2024-03-13 00:00:00,BTC/GBP,55678.72,57850.19,55648.37,57063.69,6.36988654,363489.2308537326
1710201600000,2024-03-12 00:00:00,BTC/GBP,55646.6,56602.53,53500.0,55678.72,13.12230714,730633.2650020608
1710115200000,2024-03-11 00:00:00,BTC/GBP,52830.8,56878.51,51337.7,55646.6,34.00310946,1892157.4308768357
1710028800000,2024-03-10 00:00:00,BTC/GBP,52943.51,54297.6,52000.0,52830.8,7.64370301,403822.944980708
1709942400000,2024-03-09 00:00:00,BTC/GBP,52965.89,53315.1,52350.5,52943.51,5.09293387,269637.79527568375
1709856000000,2024-03-08 00:00:00,BTC/GBP,51837.85,54079.99,51349.95,52965.89,18.51867661,980858.1882708329
1709769600000,2024-03-07 00:00:00,BTC/GBP,51650.16,52999.99,50776.2,51837.85,5.03283828,260891.515832898
1709683200000,2024-03-06 00:00:00,BTC/GBP,50252.25,53030.07,49610.0,51650.16,5.71788207,295329.5237766312
1709596800000,2024-03-05 00:00:00,BTC/GBP,52920.0,54297.54,47000.0,50252.25,15.3633864,772044.7342194
1709510400000,2024-03-04 00:00:00,BTC/GBP,49884.88,53500.0,49501.71,52920.0,17.19078779,909736.4898468001
1709424000000,2024-03-03 00:00:00,BTC/GBP,48987.12,49950.0,48567.65,49884.88,5.51462195,275096.254221116
1709337600000,2024-03-02 00:00:00,BTC/GBP,48968.5,49234.3,47998.77,48987.12,3.01287347,147591.99421970642
1709251200000,2024-03-01 00:00:00,BTC/GBP,48214.92,49919.79,47000.0,48968.5,13.07249262,640140.3548624701
1709164800000,2024-02-29 00:00:00,BTC/GBP,49385.77,50068.43,47850.0,48214.92,8.56074201,412755.4911527892
1709078400000,2024-02-28 00:00:00,BTC/GBP,44729.9,49998.0,44453.3,49385.77,17.99748422,888819.6162675493
1708992000000,2024-02-27 00:00:00,BTC/GBP,43168.19,45155.0,42960.01,44729.9,11.92273283,533302.647212617
1708905600000,2024-02-26 00:00:00,BTC/GBP,40561.77,43351.77,39500.0,43168.19,19.68655071,849832.7614939149
1708819200000,2024-02-25 00:00:00,BTC/GBP,40401.3,40900.0,40150.0,40561.77,0.32948344,13364.4315120888
1708732800000,2024-02-24 00:00:00,BTC/GBP,40078.79,40603.83,39986.95,40401.3,1.78802121,72238.381311573
1708646400000,2024-02-23 00:00:00,BTC/GBP,40493.83,40633.65,39939.7,40078.79,3.65445337,146466.06918102232
1708560000000,2024-02-22 00:00:00,BTC/GBP,41012.67,41012.67,40301.23,40493.83,3.25955604,131991.90815923322
1708473600000,2024-02-21 00:00:00,BTC/GBP,41383.7,41383.7,40100.0,41012.67,3.13130258,128423.07938368859
1708387200000,2024-02-20 00:00:00,BTC/GBP,41034.1,41850.91,40180.36,41383.7,4.35067141,180046.88043001702
1708300800000,2024-02-19 00:00:00,BTC/GBP,41219.39,41554.02,41000.0,41034.1,3.22799566,132457.89671200598
1708214400000,2024-02-18 00:00:00,BTC/GBP,40687.15,41446.09,40301.23,41219.39,3.98243374,164153.4894782186
1708128000000,2024-02-17 00:00:00,BTC/GBP,41120.3,41120.3,39939.7,40687.15,0.77926258,31705.973481847002
1708041600000,2024-02-16 00:00:00,BTC/GBP,40828.3,41383.89,40481.6,41120.3,5.25264919,215990.510487557
1707955200000,2024-02-15 00:00:00,BTC/GBP,41012.67,41592.49,40422.46,40828.3,4.98515344,203535.34019435203
1707868800000,2024-02-14 00:00:00,BTC/GBP,39352.92,41092.93,38932.91,41012.67,4.95868355,203368.8520705785
1707782400000,2024-02-13 00:00:00,BTC/GBP,39426.99,39679.74,38180.18,39352.92,5.14499467,202470.5636489364
1707696000000,2024-02-12 00:00:00,BTC/GBP,38045.79,39698.99,37667.6,39426.99,6.64398476,261952.3206926724
1707609600000,2024-02-11 00:00:00,BTC/GBP,37761.18,38800.0,37554.63,38045.79,5.8572168,222842.440357272
1707523200000,2024-02-10 00:00:00,BTC/GBP,37276.14,37931.69,36994.85,37761.18,2.4150664,91195.75704235201
1707436800000,2024-02-09 00:00:00,BTC/GBP,35726.98,38000.0,35623.84,37276.14,11.00277935,410141.14343970903
1707350400000,2024-02-08 00:00:00,BTC/GBP,34939.51,35935.38,34939.51,35726.98,3.88546726,138816.0110886748
1707264000000,2024-02-07 00:00:00,BTC/GBP,34092.0,35029.57,33829.0,34939.51,2.25881506,78921.8913770206
1707177600000,2024-02-06 00:00:00,BTC/GBP,33942.13,34369.14,33858.01,34092.0,0.57066676,19455.171181920003
1707091200000,2024-02-05 00:00:00,BTC/GBP,33608.21,34507.47,33403.49,33942.13,1.90785063,64756.5141040419
1707004800000,2024-02-04 00:00:00,BTC/GBP,33908.89,34074.49,33403.49,33608.21,0.7572206,25448.828941126
1706918400000,2024-02-03 00:00:00,BTC/GBP,33948.44,34100.11,33785.49,33908.89,0.84245462,28566.701039571803
1706832000000,2024-02-02 00:00:00,BTC/GBP,33602.48,34095.38,33327.76,33948.44,0.81685757,27731.0402036908
1706745600000,2024-02-01 00:00:00,BTC/GBP,33320.46,33637.68,32806.93,33602.48,1.64114532,55146.5527923936
1706659200000,2024-01-31 00:00:00,BTC/GBP,33104.5,34139.56,32780.18,33320.46,7.21754001,240491.7532016046
1706572800000,2024-01-30 00:00:00,BTC/GBP,33744.99,34010.0,32940.0,33104.5,4.80572694,159091.18748522998
1706486400000,2024-01-29 00:00:00,BTC/GBP,32940.74,34069.28,32500.0,33744.99,3.2248376,108822.11256362399
1706400000000,2024-01-28 00:00:00,BTC/GBP,33073.17,33500.0,32603.38,32940.74,1.21967951,40177.145622237396
1706313600000,2024-01-27 00:00:00,BTC/GBP,32918.88,33115.6,32713.17,33073.17,2.93613745,97107.3730272165
1706227200000,2024-01-26 00:00:00,BTC/GBP,31417.57,33184.8,31358.15,32918.88,3.60708049,118741.04980065119
1706140800000,2024-01-25 00:00:00,BTC/GBP,31530.0,31607.66,31155.04,31417.57,2.47644615,77803.92026885551
1706054400000,2024-01-24 00:00:00,BTC/GBP,31080.09,31534.34,31080.09,31530.0,1.69173007,53340.2491071
1705968000000,2024-01-23 00:00:00,BTC/GBP,31186.46,31454.71,30350.18,31080.09,7.44154765,231283.97070128852
1705881600000,2024-01-22 00:00:00,BTC/GBP,32692.72,32780.61,31093.37,31186.46,1.45795323,45468.4000892658
1705795200000,2024-01-21 00:00:00,BTC/GBP,32917.38,32985.11,32300.0,32692.72,3.58103725,117073.84812382
1705708800000,2024-01-20 00:00:00,BTC/GBP,32789.31,33999.99,32668.0,32917.38,1.22156171,40210.6110015198
1705622400000,2024-01-19 00:00:00,BTC/GBP,32491.13,33309.59,31913.42,32789.31,2.14776169,70423.6238595339
1705536000000,2024-01-18 00:00:00,BTC/GBP,33713.55,33836.3,32115.15,32491.13,2.13332188,69314.0385349244
1705449600000,2024-01-17 00:00:00,BTC/GBP,33363.69,33721.36,32502.8,33713.55,1.83317249,61802.7524002395
1705363200000,2024-01-16 00:00:00,BTC/GBP,32492.5,33500.0,31000.0,33363.69,9.31748283,310865.6087204427
1705276800000,2024-01-15 00:00:00,BTC/GBP,32826.19,33599.92,31820.0,32492.5,3.43570572,111634.6681071
1705190400000,2024-01-14 00:00:00,BTC/GBP,33726.34,33998.8,32826.19,32826.19,5.35635526,175828.7354722594
1705104000000,2024-01-13 00:00:00,BTC/GBP,33639.2,34000.0,33430.16,33726.34,3.54019768,119397.91062289118
1705017600000,2024-01-12 00:00:00,BTC/GBP,36402.88,36518.29,32558.04,33639.2,5.46892401,183970.228557192
1704931200000,2024-01-11 00:00:00,BTC/GBP,36552.92,38887.05,35976.59,36402.88,9.76421969,355445.71766870713
1704844800000,2024-01-10 00:00:00,BTC/GBP,36339.3,37552.92,35000.0,36552.92,7.16555094,261921.8102657448
1704758400000,2024-01-09 00:00:00,BTC/GBP,36988.99,37952.83,35361.0,36339.3,3.66073172,133028.428192596
1704672000000,2024-01-08 00:00:00,BTC/GBP,34526.58,37081.65,34123.0,36988.99,7.6923586,284532.575331814
1704585600000,2024-01-07 00:00:00,BTC/GBP,34645.53,35549.97,34486.0,34526.58,5.42884798,187439.5540893084
1704499200000,2024-01-06 00:00:00,BTC/GBP,34806.69,34813.73,34293.94,34645.53,1.04653764,36257.851202749196
1704412800000,2024-01-05 00:00:00,BTC/GBP,34900.3,35107.02,33500.0,34806.69,12.86684077,447852.1379607513
1704326400000,2024-01-04 00:00:00,BTC/GBP,33868.46,35499.99,33732.98,34900.3,3.74737582,130784.54033074601
1704240000000,2024-01-03 00:00:00,BTC/GBP,35668.06,36055.58,32205.0,33868.46,8.71405006,295131.4558951076
1704153600000,2024-01-02 00:00:00,BTC/GBP,34869.47,36392.07,34869.47,35668.06,6.78960049,242171.87765334937
1704067200000,2024-01-01 00:00:00,BTC/GBP,33311.72,34869.47,33311.72,34869.47,4.55606871,158867.7012012837
1703980800000,2023-12-31 00:00:00,BTC/GBP,33279.37,33735.5,33145.87,33311.72,3.14461146,104752.4164643112
